Components,Pressure_kPa,Temperature_C,Speed_mms,Cells (e6/ml),Needle_um,Has_Cells,num_components,contains_alginate,contains_gelatin,contains_pcl,contains_gelatin_methacrylated,contains_hydroxyapatite,contains_hyaluronic_acid,contains_pluronic_f127,contains_plga,contains_methylcellulose,contains_beta_tricalcium_phosphate,contains_chitosan,contains_fibrinogen,contains_carbopol,contains_polypropylene_fumarate_ppf,contains_diethyl_fumarate_def,contains_diclofenac_sodium,contains_lactose,contains_polyplasdone,contains_gellan_gum,contains_laponite,contains_glycerol,contains_pegda,contains_collagen,contains_hyaluronic_acid_methacrylated,contains_hydroxypropyl_methylcellulose,alginate_conc,gelatin_conc,pcl_conc,gelatin_methacrylated_conc,hydroxyapatite_conc,hyaluronic_acid_conc,pluronic_f127_conc,plga_conc,methylcellulose_conc,beta_tricalcium_phosphate_conc,chitosan_conc,fibrinogen_conc,carbopol_conc,polypropylene_fumarate_ppf_conc,diethyl_fumarate_def_conc,diclofenac_sodium_conc,lactose_conc,polyplasdone_conc,gellan_gum_conc,laponite_conc,glycerol_conc,pegda_conc,collagen_conc,hyaluronic_acid_methacrylated_conc,hydroxypropyl_methylcellulose_conc,dominant_material_type,total_solid_content,has_synthetic_polymer,has_natural_polymer,volumetric_flow_rate,wall_shear_rate,specific_pressure,throughput_capacity,temp_stress,shear_stress_risk,resolution_capability,is_synthetic,data_origin,parent_real_id
Polystyrene [100 wt%] ,900.0,155.0,4.0,,400.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,100.0,0,0,0.000502654824574367,79.99999681690126,1790489.5477180465,640000.0,1.0,1.0,0.00249999999375,0,real,0.0
Glass Sugar [100 wt%] ,70.0,150.0,20.0,,300.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,100.0,0,0,0.0014137166941154068,533.3332830325166,49514.8361595633,1800000.0,1.0,0.0,0.0033333333222222,0,real,1.0
Gelatin Methacrylated [5 wt%] ,50.0,23.0,10.0,Placenta BeWo Cells (10),400.0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural_Polymer,5.0,0,1,0.0012566370614359172,199.99999204225313,39788.70411012915,1600000.0,0.0,0.0,0.00249999999375,0,real,2.0
Gelatin Methacrylated [10 wt%] ,70.0,28.0,10.0,Placenta BeWo Cells (10),400.0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural_Polymer,10.0,0,1,0.0012566370614359172,199.99999204225313,55704.185754180806,1600000.0,0.0,0.0,0.00249999999375,0,real,3.0
Gelatin Methacrylated [10 wt%] ,50.0,23.0,10.0,Primary Human Umbilical Vein Endothelial Cells (10),400.0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural_Polymer,10.0,0,1,0.0012566370614359172,199.99999204225313,39788.70411012915,1600000.0,0.0,0.0,0.00249999999375,0,real,4.0
Gelatin Methacrylated [10 wt%] ,50.0,23.0,10.0,Placenta BeWo Cells (2),400.0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural_Polymer,10.0,0,1,0.0012566370614359172,199.99999204225313,39788.70411012915,1600000.0,0.0,0.0,0.00249999999375,0,real,5.0
Fibrinogen [10 wt%] Gelatin [5 wt%] ,50.0,24.0,6.0,Human Umbilical Vein Endothelial Cells (2),400.0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural_Polymer,15.0,0,1,0.0007539822368615504,119.99999522535188,66314.47166932335,960000.0,0.0,0.0,0.00249999999375,0,real,6.0
Fibrinogen [10 wt%] Gelatin [5 wt%] ,50.0,24.0,6.0,Human Mesenchymal Stem Cells (2),400.0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural_Polymer,15.0,0,1,0.0007539822368615504,119.99999522535188,66314.47166932335,960000.0,0.0,0.0,0.00249999999375,0,real,7.0
PCL [100 wt%] ,500.0,120.0,2.0,,400.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.0002513274122871835,39.99999840845063,1989428.8729627149,320000.0,1.0,0.0,0.00249999999375,0,real,8.0
PCL [100 wt%] ,450.0,160.0,1.3,,410.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00017163306064724436,25.36585272132422,2621857.2135566664,218530.0,1.0,0.0,0.002439024384295,0,real,9.0
